Reason,State,Total,    Age 18 - 24,    Age 25 - 39,    Age 40 - 54,    Age 55 - 64,    Age 65 and above,    Male,    Female,    Hispanic or Latino (may be of any race),"    White alone, not Hispanic","    Black alone, not Hispanic","    Asian alone, not Hispanic","    Two or more races + Other races, not Hispanic",    Less than high school,    High school or GED,    Some college/associate’s degree,    Bachelor’s degree or higher,    Married,    Widowed,    Divorced/separated,    Never married,No Marriage Status,    1 person in the household,    2 people in the household,    3 people in the household,    4 people in the household,    5 people in the household,    6 people in the household,    7 or more people in the household,    Children in household,    No children,    Received loss of employment income,    Did not receive loss of employment income,    Did not report loss of employment income,Employed,Unemployed,    Did not report employment status,"    Less than $25,000","    $25,000 - $34,999","    $35,000 - $49,999","    $50,000 - $74,999","    $75,000 - $99,999","    $100,000 - $149,999","    $150,000 - $199,999","    $200,000 and above",    Did not report HH income,    Regular income sources like those received before the pandemic,    Credit cards or loans,    Money from savings or selling assets or possessions,    Borrowing from friends or family,    Unemployment insurance (UI) benefit payments,    Stimulus (economic impact) payment,    Money saved from deferred or forgiven payments (to meet spending needs),    Supplemental Nutrition Assistance Program (SNAP),    Other,    Did not report money lending in past 7 days,    Serving on active duty,    Serving in Reserve or National Guard,    Spouse serving on active duty,    Spouse serving in Reserve or National Guard,    No active duty service (self or spouse),    Did not report Military status,    No difficulty seeing,    Some difficulty seeing,    A lot of difficulty seeing,Blind,    Did not report difficulty seeing,    No difficulty hearing,    Some difficulty hearing,    A lot of difficulty hearing,Deaf,    Did not report difficulty hearing,    No difficulty remembering/concetrating,    Some difficulty remembering/concetrating,    A lot of difficulty remembering/concetrating,    Cannot do at all remembering/concetrating,    Did not report difficulty remembering/concetrating,    No difficulty walking,    Some difficulty walking,    A lot of difficulty walking,    Cannot walk at all,    Did not report difficulty walking,Previously infected,Not previously infected,    Unsure C-19 diagnosis,    Did not report a C-19 diagnosis
Don’t trust COVID-19 vaccines,WA,279761,18325,83302,94376,56815,26943,147927,131834,29634,239793,2274,5753,2306,18852,92630,123799,44479,145251,10691,37492,83933,2394,11257,97876,43278,51848,12405,17918,45178,106495,173266,70317,207050,2394,207426,69941,2394,28040,24585,14335,41677,12400,24270,9979,11194,113280,155298,57604,53931,13821,26873,53882,19158,16511,15752,63716,8184,5022,-,-,261753,4802,125315,55039,10497,6976,81934,146897,30097,1812,19021,81934,133515,40995,8157,15160,81934,175851,15226,6750,-,81934,70276,207091,-,2394
Don’t trust the government,WA,236506,27884,74324,79012,40303,14984,177277,59229,19309,189484,24070,1338,2306,6106,69849,133586,26966,99601,11430,31641,91440,2394,5242,84088,27832,37933,12220,26851,42341,102734,133772,62340,171772,2394,176756,57356,2394,31489,8927,17443,28277,6165,25585,3634,11194,103792,131762,41436,25729,20640,9287,43043,4028,8997,15752,54897,8184,-,-,-,225928,2394,107454,28251,11061,6976,82764,128917,7352,-,17473,82764,113997,19482,5103,15160,82764,140113,9148,4481,-,82764,34187,199925,-,2394
Other,WA,199332,22253,74337,45673,31813,25257,97149,102184,18833,129246,3549,24682,23023,-,42001,75133,82198,95875,5818,11706,85933,-,7613,60853,37159,31902,27518,5463,28825,67433,131899,38030,161302,-,126472,72860,-,15331,4532,8527,14044,35406,15765,8827,10725,86177,120685,39346,17864,12567,6641,35418,1779,15795,4001,46005,1058,6080,3030,1058,191281,-,71951,63443,792,6976,56171,115456,20730,-,6976,56171,74232,43463,18490,6976,56171,100623,32707,9831,-,56171,42940,156392,-,-
Did not report,WA,22226,-,796,16885,4544,-,20286,1940,-,7057,14188,980,-,-,3053,15385,3787,18878,-,3053,294,-,3053,1491,1581,1776,849,-,13475,4501,17725,4250,17976,-,6705,15521,-,-,849,-,-,1910,-,-,1162,18304,3921,1857,2759,-,1197,1563,714,849,-,18304,-,-,-,-,22226,-,1875,849,1197,-,18304,2724,1197,-,-,18304,1875,2046,-,-,18304,3921,-,-,-,18304,-,22226,-,-
Total,WV,419447,31705,159063,133592,70373,24715,213684,205763,7639,390922,13153,1712,6021,38722,233187,113597,33941,194593,14581,102774,107499,-,33993,139339,81417,74630,62416,21523,6128,213774,205673,132189,287258,-,222208,197240,-,89642,46172,28274,49533,41041,23233,-,2772,138781,266849,44348,48491,60116,19305,128295,4084,84473,13247,73924,-,-,-,6672,409035,3741,184805,108098,25284,-,101260,253436,41601,9362,11402,103647,125238,147497,45452,-,101260,235534,52983,28694,976,101260,39771,372719,286,6672
Concerned about possible side effects,WV,174612,6437,71951,60072,29467,6684,56408,118204,4997,154750,8845,-,6021,26031,76412,55011,17158,81761,7248,39761,45841,-,23800,34545,30328,26265,38150,21523,-,94445,80167,36412,138200,-,87043,87569,-,41274,16467,10333,14771,9672,19745,-,1898,60451,125153,23423,21354,10927,9179,81880,4084,48309,2810,21585,-,-,-,-,174612,-,64715,65751,6934,-,37211,102057,25707,7250,-,39598,41898,66413,29089,-,37211,104578,17830,14993,-,37211,17256,157070,286,-
Don’t know if a vaccine will work,WV,86335,21767,36521,10732,15663,1653,44591,41745,-,81923,746,-,3666,3308,47077,28618,7332,20234,1464,12577,52059,-,11295,12188,20071,32179,5033,5570,-,48698,37637,27905,58430,-,60632,25703,-,16949,7483,1886,5711,5611,788,-,-,47907,42463,11019,4830,2621,8247,29358,1627,12927,4754,28647,-,-,-,-,86335,-,26180,22093,2477,-,35584,41275,7089,-,-,37971,19426,25191,6134,-,35584,32899,13089,4762,-,35584,3833,82502,-,-
Don’t believe I need a vaccine,WV,61773,1770,20577,31069,8357,-,46709,15064,2642,56595,1119,1416,-,-,37793,14029,9951,40688,286,2278,18522,-,12994,16085,20181,12513,-,-,-,36323,25450,24740,37032,-,35587,26186,-,8720,286,16316,4058,572,5062,-,-,26760,48184,3797,7286,-,-,12836,-,3741,-,13589,-,-,-,-,61773,-,36663,10595,286,-,14228,43336,1822,-,-,16615,35302,10439,1804,-,14228,43923,2673,949,-,14228,2689,58798,286,-
Don’t like vaccines,WV,32913,-,17018,8406,7489,-,17561,15352,-,32913,-,-,-,1725,18887,8685,3616,19297,-,1099,12516,-,9018,8254,7891,6025,1725,-,-,11524,21389,13990,18923,-,12831,20081,-,11859,2917,1235,1710,2712,748,-,-,11732,27934,1610,6127,4027,1710,13007,-,3741,-,4979,-,-,-,-,32913,-,11400,10123,2917,-,8473,16289,2847,2917,-,10860,9690,11903,2847,-,8473,16191,4382,3866,-,8473,286,32627,-,-
Doctor has not recommended it,WV,25590,-,6364,9115,6672,3440,11956,13634,2642,21829,-,1119,-,-,15333,7220,3038,10785,1310,10940,2555,-,4269,12811,6081,1119,-,-,1310,6754,18836,1770,23821,-,12208,13382,-,4802,4084,855,7544,-,-,-,-,8306,19784,6970,1845,1167,1700,3722,-,2672,972,4106,-,-,-,-,25590,-,8493,1992,10561,-,4544,16090,2039,2917,-,4544,8758,4762,7527,-,4544,13861,4269,2917,-,4544,-,25590,-,-
Plan to wait and see if it is safe,WV,190684,4667,96084,61077,19823,9032,108499,82185,2642,176928,9994,1119,-,22778,105869,51211,10826,84287,5569,50920,49908,-,11668,55692,35863,21887,46410,17854,1310,107335,83349,62599,128085,-,100703,89981,-,60725,28070,16787,17365,13347,12461,-,2772,39157,137018,13608,30273,48385,7528,81223,3711,54478,6069,15923,-,-,-,-,190684,-,87124,67338,7364,-,28858,124478,27025,3651,6672,28858,47773,90678,23374,-,28858,121130,28830,11865,-,28858,14971,169042,-,6672
Other people need it more right now,WV,67016,3501,27324,31923,2958,1310,36141,30875,-,65896,-,1119,-,4818,31651,24700,5848,42875,2259,5419,16463,-,4925,20454,10599,4945,18889,1076,6128,34881,32134,26959,40057,-,44146,22870,-,10390,-,2432,5309,15083,14629,-,-,19172,48813,12078,8185,7423,3539,30068,-,14860,1182,3704,-,-,-,-,67016,-,24661,29348,2159,-,10848,44114,6587,3079,-,13235,21878,29173,5117,-,10848,42649,8280,4262,976,10848,7089,59927,-,-
Concerned about the cost,WV,4866,-,855,-,4011,-,3254,1611,-,4866,-,-,-,-,-,4011,855,3254,-,757,855,-,-,1611,-,3254,-,-,-,855,4011,3254,1611,-,4866,-,-,-,-,855,-,-,-,-,-,4011,855,855,-,-,-,855,-,-,-,4011,-,-,-,-,4866,-,855,-,-,-,4011,855,-,-,-,4011,-,-,855,-,4011,855,-,-,-,4011,-,4866,-,-
Don’t trust COVID-19 vaccines,WV,116380,1770,36084,48469,26643,3415,61118,55262,2642,108656,1119,296,3666,8539,56082,40036,11723,66024,3983,24564,21809,-,8170,35234,38541,13289,17891,1945,1310,64043,52337,39181,77199,-,66598,49782,-,17341,6799,16420,14887,7761,1245,-,1898,50029,69272,10200,7927,2592,7459,27350,1627,12916,1754,27355,-,-,-,6672,105968,3741,55221,22637,1468,-,37053,63221,8297,3079,4730,37053,43957,19474,15895,-,37053,56524,9281,13521,-,37053,6219,109876,286,-
Don’t trust the government,WV,115578,1770,55507,38588,17108,2605,68660,46918,5285,106689,-,296,3308,16838,56302,30505,11934,61741,3697,28618,21522,-,10525,42641,31151,11803,4617,13530,1310,60333,55245,46609,68969,-,70858,44720,-,19156,6695,15461,11483,19360,2034,-,-,41391,81189,10975,7416,1167,5018,30569,1627,21515,2810,20834,-,-,-,-,115578,-,54904,29648,6344,-,24682,65129,21841,1540,-,27069,48719,18994,23183,-,24682,67578,16657,6661,-,24682,10234,105344,-,-
Other,WV,40980,6437,12561,10043,4875,7064,12668,28311,-,38194,1074,1712,-,-,4259,24740,11980,22849,815,1670,15645,-,4652,13853,5075,10957,4667,1775,-,17191,23789,13235,27745,-,23617,17363,-,4021,12597,3014,4624,2451,2784,-,-,11489,27901,8031,7376,972,-,16087,-,2945,3244,3987,-,-,-,-,40980,-,26448,8386,2159,-,3987,34662,2331,-,-,3987,14911,19950,2131,-,3987,31405,2107,3482,-,3987,11172,29808,-,-
Did not report,WV,593,-,-,-,593,-,593,-,-,-,593,-,-,-,-,-,593,593,-,-,-,-,-,-,-,593,-,-,-,-,593,-,593,-,-,593,-,-,593,-,-,-,-,-,-,-,-,-,-,-,-,593,-,-,-,-,-,-,-,-,593,-,-,593,-,-,-,-,593,-,-,-,593,-,-,-,-,-,593,-,-,-,-,593,-,-
Total,WI,952094,102535,365481,249593,174600,59885,491599,460495,96721,720799,103301,529,30743,41803,397520,382736,130035,499861,14728,156694,280811,-,65751,254851,152152,288639,81988,54499,54213,581658,370436,112679,839415,-,590673,361421,-,99642,100970,126908,89673,96273,106022,21861,27678,283067,568754,160629,142214,123001,36037,238227,3542,62849,9633,157594,-,7036,-,-,945057,-,514915,166642,9414,14786,246337,623060,70546,10220,-,248268,476711,175874,48109,-,251399,559094,129031,17631,-,246337,169149,779302,3643,-
Concerned about possible side effects,WI,443289,61329,141927,107699,85207,47126,212998,230291,5068,371836,49368,529,16488,-,149527,211976,81786,222169,10927,62045,148148,-,35642,137468,82694,95347,41863,45297,4977,238324,204965,54055,389234,-,255461,187828,-,41036,84005,25789,40307,45388,32730,15459,4932,153642,278233,90948,113157,29279,30852,120908,2534,49078,7701,75755,-,7036,-,-,436253,-,234939,83455,3927,-,120967,260541,57316,4465,-,120967,165094,109119,48109,-,120967,240695,67701,13927,-,120967,95564,344082,3643,-
Don’t know if a vaccine will work,WI,169403,17552,61518,59786,19550,10997,64013,105390,-,144513,19170,-,5720,7677,40237,94274,27215,90428,-,22067,56909,-,21303,50798,26412,52050,11927,6913,-,85594,83809,14137,155266,-,143237,26166,-,16448,23666,12336,25733,16381,13365,10023,-,51451,118055,35813,41981,7761,4366,42105,-,12074,9104,20356,-,-,-,-,169403,-,116767,27614,1695,-,23326,115614,24707,3824,-,25257,90805,43879,11392,-,23326,119532,20958,5587,-,23326,45422,121675,2306,-
Don’t believe I need a vaccine,WI,225371,26624,72335,57288,59868,9257,147810,77562,4932,183790,24297,-,12352,-,91021,98447,35904,149266,-,19868,56238,-,12735,66530,19623,66843,34415,6913,18312,132294,93077,32168,193203,-,165628,59743,-,17746,31483,1393,24513,23176,41098,6463,5780,73720,162966,24038,45711,7593,13963,63469,-,15704,-,31919,-,-,-,-,225371,-,142608,22067,3089,-,57607,152080,11652,4031,-,57607,117789,43474,1439,-,62669,152159,15605,-,-,57607,52362,170703,2306,-
Don’t like vaccines,WI,70574,-,44784,11563,8363,5865,44873,25702,-,64550,2102,-,3922,-,22907,40811,6856,49559,-,6868,14147,-,-,27087,5354,22038,11119,-,4977,48665,21909,15979,54595,-,54580,15994,-,10135,10116,11003,16107,1806,6479,5062,-,9866,63014,10472,11234,-,11087,37035,-,8974,-,2117,-,-,-,-,70574,-,57594,5420,-,-,7560,49975,13039,-,-,7560,46370,8274,3308,-,12622,46756,14452,1806,-,7560,4059,64209,2306,-
Doctor has not recommended it,WI,85581,-,66869,15867,2306,539,77098,8483,56142,27322,-,-,2117,-,67949,10541,7091,75305,-,3097,7179,-,539,10541,1502,67949,3548,1502,-,77674,7907,-,85581,-,27397,58183,-,539,1056,56142,1502,3548,1502,5062,-,16229,14976,6118,6657,57198,-,3362,-,-,-,13923,-,-,-,-,85581,-,70601,1056,-,-,13923,66596,5062,-,-,13923,69099,2558,-,-,13923,69099,1502,1056,-,13923,2558,80717,2306,-
Plan to wait and see if it is safe,WI,351326,61329,114799,78684,75849,20665,166389,184937,19252,276847,45492,-,9735,7299,147861,135599,60567,114343,4393,72095,160495,-,35971,119949,49687,92034,8387,45297,-,177700,173627,19416,331910,-,223251,128075,-,50179,58664,13512,31478,30339,25100,15349,-,126706,174719,58708,67012,10296,12973,94740,-,21753,7172,77030,-,7036,-,-,344290,-,173957,78631,3089,-,95650,211582,34817,9277,-,95650,136048,78052,41576,-,95650,169735,82007,3934,-,95650,72711,274972,3643,-
Other people need it more right now,WI,216520,72060,54839,42047,42075,5499,141581,74939,4977,174222,30210,-,7112,7677,95519,90481,22844,86602,-,10917,119002,-,18223,66881,50210,20950,5062,38385,16810,115242,101279,17566,198955,-,140051,76469,-,4410,31776,9340,6564,23164,39878,6564,-,94823,134025,54010,60161,4442,9327,51534,1008,8009,-,58053,-,7036,-,-,209484,-,86909,38619,2534,-,88458,115119,10815,2129,-,88458,77857,40073,5070,-,93520,119720,6214,2129,-,88458,59136,155079,2306,-
Concerned about the cost,WI,36207,-,4929,10068,21211,-,20298,15909,-,15402,20805,-,-,4929,23049,5334,2895,5334,-,8566,22308,-,1393,34814,-,-,-,-,-,4929,31279,6322,29886,-,29886,6322,-,4929,15877,1393,-,-,-,1502,-,12507,6836,-,15877,4929,1393,22604,-,3028,7172,-,-,-,-,-,36207,-,19685,-,1393,-,15129,19685,-,1393,-,15129,3808,17270,-,-,15129,19685,1393,-,-,15129,10201,23701,2306,-
Don’t trust COVID-19 vaccines,WI,241508,9875,93014,42257,81477,14886,146201,95308,-,194250,36799,-,10459,-,65217,144850,31442,157719,5602,25257,52930,-,13296,75633,37105,63602,38891,5411,7571,134480,107029,42239,199269,-,173304,68204,-,28834,38448,13186,29995,36597,7276,8521,-,78651,158306,44746,79445,15354,19028,95619,-,25328,-,33000,-,7036,-,-,234472,-,141248,38907,3089,-,58265,134701,43325,5217,-,58265,103710,58954,20579,-,58265,151406,26694,5143,-,58265,58344,180858,2306,-
Don’t trust the government,WI,239709,-,113454,76643,43109,6504,138612,101098,4932,183394,41752,-,9632,21898,86871,103811,27129,104055,-,45319,90336,-,16898,57600,44152,65885,35609,9202,10363,138935,100774,39843,199866,-,161155,78554,-,18746,44101,18308,21756,31581,21987,10170,21898,51162,164690,48592,41878,35526,16065,73738,-,26552,-,27038,-,-,-,-,239709,-,141322,36337,5184,14786,42080,160748,33359,3522,-,42080,131879,28921,36828,-,42080,139037,56463,2129,-,42080,36792,199274,3643,-
Other,WI,91710,44057,11213,16872,16252,3316,61216,30494,8883,82827,-,-,-,-,47268,26736,17706,39477,2592,5584,44057,-,5928,23303,6619,11342,-,38385,6134,60194,31516,-,91710,-,32902,58808,-,7286,10322,4782,3379,-,9702,3835,-,52403,42793,8782,4816,6981,-,8221,-,4782,-,38385,-,-,-,-,91710,-,25224,25141,-,-,41345,48926,1439,-,-,41345,29516,19348,1502,-,41345,44890,4036,1439,-,41345,16502,75208,-,-
Did not report,WI,10276,-,-,1393,8883,-,10276,-,-,10276,-,-,-,-,8883,-,1393,-,-,10276,-,-,-,10276,-,-,-,-,-,1393,8883,-,10276,-,1393,8883,-,-,-,8883,-,-,-,-,-,1393,10276,-,-,-,-,-,-,-,-,-,-,-,-,-,10276,-,8883,-,-,-,1393,-,8883,-,-,1393,8883,-,-,-,1393,8883,-,-,-,1393,8883,1393,-,-
Total,WY,168130,12681,61635,52740,22912,18162,80035,88096,18600,137768,3877,-,7885,10435,67269,66089,24337,99523,3062,20019,45376,151,13469,29397,32066,23955,40290,8791,20162,105549,62581,28558,139572,-,95667,70396,2067,14302,20331,13768,20809,14026,21324,3295,9601,50674,108903,23727,30574,16991,12528,40392,5206,9926,6256,20522,-,187,1090,165,165688,1000,94994,32253,2602,-,38281,112997,16788,685,-,37660,84552,34317,11601,-,37660,104680,17711,8079,-,37660,39122,123840,5168,-
Concerned about possible side effects,WY,70604,4758,34289,17188,6837,7532,33071,37533,7798,59437,1417,-,1952,2445,26347,32416,9395,40809,1538,8065,20191,-,8201,10695,14210,6762,17142,6658,6936,41478,29126,19831,50773,-,47226,22311,1067,7508,12536,5217,11209,4614,12881,2653,5024,8961,46109,14307,20418,12870,2772,22162,932,1805,4090,6967,-,187,1090,-,69327,-,38593,19983,2445,-,9582,54506,7137,-,-,8961,40512,17033,4098,-,8961,45712,10772,5159,-,8961,16487,54116,-,-
Don’t know if a vaccine will work,WY,17791,-,5366,6710,2911,2804,3048,14743,670,16794,327,-,-,-,5099,8446,4246,10330,-,4739,2722,-,3835,4998,2685,2188,4085,-,-,9300,8490,4145,13646,-,13003,4788,-,1914,3202,1202,4523,1000,1579,375,-,3997,15673,1550,969,1881,-,3317,-,-,-,859,-,-,-,-,17791,-,8186,7079,-,-,2526,14622,1263,-,-,1905,6906,8980,-,-,1905,11920,816,3149,-,1905,4655,13136,-,-
Don’t believe I need a vaccine,WY,54990,7179,31300,14822,436,1254,21203,33787,3562,47173,-,-,4255,5322,15395,20646,13628,31447,311,5460,17772,-,4104,7137,4310,7144,17707,2318,12269,43749,11241,6873,48118,-,26556,27434,1000,5850,4471,2470,5296,5401,6394,1643,4255,19210,43470,1550,7046,1883,6896,15897,634,8199,1190,3557,-,-,-,-,53990,1000,31717,12769,-,-,10505,40230,4877,-,-,9883,28752,12100,4255,-,9883,40389,1859,2859,-,9883,11678,41478,1834,-
Don’t like vaccines,WY,9230,-,4945,3579,706,-,1438,7791,343,6883,327,-,1677,-,1223,6064,1943,4791,-,343,4096,-,795,2179,1576,780,2312,-,1588,6598,2631,4703,4527,-,4933,3297,1000,2838,503,-,1223,-,1286,375,-,3005,5645,161,961,2813,-,2820,634,1724,580,1000,-,-,-,-,8230,1000,2369,3856,-,-,3005,6064,161,-,-,3005,3250,2975,-,-,3005,4507,1718,-,-,3005,1090,8140,-,-
Doctor has not recommended it,WY,3884,2445,-,653,786,-,151,3734,-,3884,-,-,-,-,3098,-,786,1288,-,-,2445,151,151,-,1288,-,2445,-,-,3734,151,2445,1439,-,636,3249,-,-,2445,653,786,-,-,-,-,-,1439,2445,2445,2445,2445,3098,-,-,-,-,-,-,-,-,3884,-,786,653,2445,-,-,3232,653,-,-,-,636,151,3098,-,-,636,3249,-,-,-,-,3884,-,-
Plan to wait and see if it is safe,WY,46986,2312,22746,9187,7751,4990,22788,24198,9609,36752,327,-,298,2445,17664,18887,7989,29557,-,5030,12398,-,3025,10891,11375,8859,5880,2318,4638,26206,20780,10042,36944,-,26938,20047,-,8155,6681,2759,7373,5594,7647,2072,-,6703,32676,12042,14506,8576,-,12733,485,533,2413,1824,-,-,-,165,46820,-,33486,8888,-,-,4612,38442,3932,-,-,4612,30875,9194,2305,-,4612,36226,4860,1289,-,4612,6796,39523,667,-
Other people need it more right now,WY,16182,3668,5314,6030,1170,-,6057,10125,1533,14650,-,-,-,2445,5462,4659,3615,11188,-,718,4277,-,2093,2429,1249,3118,7093,-,200,11661,4522,2747,13436,-,11548,4635,-,917,3829,2811,1570,1873,1789,375,321,2697,12104,4139,6282,3668,3978,7034,-,-,1223,200,-,-,-,-,16182,-,9181,2157,2445,-,2400,13622,161,-,-,2400,7861,2254,3668,-,2400,8762,5021,-,-,2400,3236,12946,-,-
Concerned about the cost,WY,7808,1834,4255,1719,-,-,5684,2124,-,7808,-,-,-,-,6089,1558,161,1268,-,290,6250,-,451,-,6089,1268,-,-,-,1268,6540,6089,1719,-,7518,290,-,290,161,-,-,-,-,-,-,7357,161,161,-,290,-,-,1268,-,-,6089,-,-,-,-,7808,-,-,1719,-,-,6089,1558,161,-,-,6089,-,1719,-,-,6089,1268,161,290,-,6089,5523,2285,-,-
Don’t trust COVID-19 vaccines,WY,37395,-,13616,12847,6159,4773,19351,18045,5831,31564,-,-,-,2667,15016,14566,5146,22045,471,4009,10870,-,1831,4302,16633,3394,6901,-,4334,21955,15440,9446,27949,-,28975,7420,1000,2838,-,2204,6120,6754,6251,955,-,12274,22318,2042,7130,4167,1223,8059,634,1857,580,10310,-,187,-,-,36208,1000,16379,9344,-,-,11673,17929,8415,-,-,11051,14830,11514,-,-,11051,24076,2268,-,-,11051,10950,23778,2667,-
Don’t trust the government,WY,42582,-,12351,21778,2749,5704,28708,13874,5504,37078,-,-,-,2667,19212,16252,4451,30144,901,2603,8935,-,2588,5820,14028,6814,8403,595,4334,29459,13124,9674,32908,-,33759,7823,1000,1144,2299,5539,6718,3087,11121,955,685,11034,29771,2474,8120,1883,685,7567,1319,769,-,9863,-,187,-,-,41395,1000,21270,10279,-,-,11034,21306,9557,685,-,11034,20088,10775,685,-,11034,26846,4702,-,-,11034,9891,30024,2667,-
Other,WY,31996,-,9498,13334,5964,3200,19007,12989,2837,26438,2134,-,588,-,17462,10906,3629,18548,1094,3477,8877,-,2897,7003,10272,6918,2773,2134,-,16251,15745,5755,26241,-,22017,9979,-,1972,4851,2718,7563,473,1972,642,1007,10798,17906,4319,3041,1284,642,5578,2134,311,2173,8209,-,-,-,-,31996,-,19105,1937,156,-,10798,15998,5200,-,-,10798,13644,4991,2563,-,10798,17094,2043,2061,-,10798,9074,22922,-,-
Did not report,WY,801,-,-,327,473,-,-,801,-,473,327,-,-,-,-,473,327,801,-,-,-,-,-,473,-,-,327,-,-,327,473,-,801,-,801,-,-,-,473,-,-,-,-,-,-,327,801,-,-,-,-,-,-,-,-,-,-,-,-,-,801,-,327,473,-,-,-,801,-,-,-,-,327,473,-,-,-,327,473,-,-,-,327,473,-,-
Total,LA,1075745,69399,360042,351028,183621,111655,330068,745678,79854,679143,262304,4641,49803,51709,572756,287400,163881,533399,38266,226013,278066,-,82725,204662,275145,250577,121722,43324,97590,576827,498918,280717,795028,-,656259,419486,-,201826,50415,87310,73717,49403,107802,33371,17065,454837,484433,186216,115131,143130,69693,229815,2370,103845,103811,223354,23293,2219,-,-,1038911,19389,391985,239871,36008,5339,402542,544196,99993,9541,8639,413376,412497,164858,96341,-,402049,494159,114863,64674,-,402049,203660,872085,-,-
Concerned about possible side effects,LA,440368,57181,165325,110951,57648,49262,93018,347350,32298,294217,91415,-,22437,43620,161060,163818,71870,194031,3130,114329,128878,-,13347,61043,141445,119385,32686,29273,43189,268207,172161,133075,307293,-,312296,128072,-,77020,3710,17937,54743,22672,37475,27625,9073,190114,182274,74072,65442,70549,20359,124972,2370,50700,51525,124499,-,-,-,-,440368,-,159165,93099,11999,-,176105,224157,24420,4302,550,186939,145276,50997,67990,-,176105,217744,23427,23093,-,176105,65118,375250,-,-
Don’t know if a vaccine will work,LA,124622,2596,44729,40278,5673,31347,59905,64718,-,90684,16152,-,17786,-,82423,35940,6260,60755,11219,24544,28105,-,6705,12782,81613,7390,-,16133,-,66190,58432,40251,84372,-,94709,29913,-,14491,-,-,15136,5099,28216,-,1653,60027,38503,40292,33280,4302,-,77088,-,14838,40819,4694,-,-,-,-,124622,-,45802,14491,4302,-,60027,41371,-,4302,8088,70861,41686,7774,15136,-,60027,52205,4302,8088,-,60027,6313,118309,-,-
Don’t believe I need a vaccine,LA,234377,-,96249,77626,27115,33388,134520,99857,-,172809,43014,2422,16133,-,148892,62831,22654,152618,11219,29141,41399,-,10014,42915,57854,75485,4183,20765,23162,74135,160242,41020,193357,-,177462,56916,-,28022,20765,-,2422,5192,36372,20978,2366,118262,133385,69666,44981,21457,16470,73033,-,30291,4109,18357,-,-,-,-,234377,-,69539,46284,6673,-,111882,104527,9880,-,8088,111882,86300,30778,5417,-,111882,109775,4632,8088,-,111882,9600,224777,-,-
Don’t like vaccines,LA,67251,12219,39611,3231,5980,6211,4848,62402,-,36447,12249,2422,16133,-,38799,10893,17559,19176,3130,41482,3462,-,22832,10893,6965,10428,-,16133,-,30295,36955,14235,53015,-,50862,16389,-,3482,-,4105,10939,9056,-,-,-,39667,48987,22638,19595,3231,3231,35310,-,3231,-,18263,-,-,-,-,67251,-,3669,20849,5106,-,37626,18196,11428,-,-,37626,10558,19066,-,-,37626,18554,6965,4105,-,37626,10195,57055,-,-
Doctor has not recommended it,LA,40375,-,21372,16507,1457,1040,-,40375,-,28415,11410,-,550,8088,12111,11799,8378,17730,-,12989,9657,-,2497,6348,23493,8038,-,-,-,35575,4800,24573,15802,-,16515,23860,-,12989,550,1040,-,2303,8088,-,-,15404,15252,3343,1590,4044,10159,16026,-,21078,-,8066,8066,-,-,-,40375,-,6052,18919,-,-,15404,13502,10918,-,550,15404,-,17483,7488,-,15404,17266,6665,1040,-,15404,15609,24767,-,-
Plan to wait and see if it is safe,LA,355388,36656,141322,134148,26825,16438,71128,284260,44430,239272,65894,-,5792,36656,122777,133001,62955,129491,3130,87774,134993,-,6393,86914,74535,100581,29677,7200,50089,228306,127082,86240,269148,-,221208,134180,-,68161,9836,10403,61063,17073,30215,10302,7984,140351,165460,47653,38328,60160,32492,65413,2370,42031,43131,95553,-,-,-,-,355388,-,123460,97245,7368,-,127316,151977,60959,4302,-,138150,136016,33338,58718,-,127316,202690,11640,13743,-,127316,50097,305291,-,-
